Section,Code,Main_code,Sup_code,Description
A,01.46,01,46,Разведение свиней                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Выращивание и разведение свиней                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Выращивание свиней на мясо                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Разведение племенного поголовья свиней                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Производство спермы хряков                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;
A,01.47,01,47,"Разведение сельскохозяйственной птицы                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок                                                                                                                                                                                                                                                                                                                                                                                                                             ;Выращивание сельскохозяйственной птицы на мясо                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Разведение племенной сельскохозяйственной птицы                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Производство яиц сельскохозяйственной птицы                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;Деятельность инкубаторов для птицеводства                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;"
A,01.49,01,49,"Разведение прочих животных                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Пчеловодство                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Пчеловодство медового направления                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Пчеловодство опылительного направления                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Пчеловодство разведенческого направления                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;Разведение кроликов и прочих пушных зверей на фермах                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Разведение кроликов, производство тонкого волоса кроликов на фермах                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Разведение прочих пушных зверей на фермах                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Разведение шелкопряда                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Производство грен шелкопряда                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Производство коконов шелкопряда                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Разведение оленей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Разведение домашних северных оленей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Разведение пятнистых оленей, ланей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей                                                                                                                                                                                                                                                                                                                                                                                        ;Разведение домашних животных                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Разведение лабораторных животных                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Разведение дождевых червей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Разведение прочих животных, не включенных в другие группировки                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;"
A,01.5 ,01,5 ,Смешанное сельское хозяйство                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
A,01.50,01,50,Смешанное сельское хозяйство                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
A,01.6 ,01,6 ,Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции                                                                                                                                                                                                                                                                                                                                                                                        ;
A,01.61,01,61,Предоставление услуг в области растениеводства                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;
A,01.62,01,62,Предоставление услуг в области животноводства                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;
A,01.63,01,63,Деятельность сельскохозяйственная после сбора урожая                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;
A,01.64,01,64,Обработка семян для посадки                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;
A,01.7 ,01,7 ,"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях                                                                                                                                                                                                                                                                                                                                                                                                                                 ;"
A,01.70,01,70,"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях                                                                                                                                                                                                                                                                                                                                                                                                                                 ;"
A,02.1 ,02,1 ,Лесоводство и прочая лесохозяйственная деятельность                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;
A,02.10,02,10,"Лесоводство и прочая лесохозяйственная деятельность                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Деятельность лесопитомников                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;Выращивание посадочного материала лесных растений (саженцев, сеянцев)                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Выращивание прочей продукции лесопитомниками                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Деятельность лесохозяйственная прочая                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;"
A,02.2 ,02,2 ,Лесозаготовки                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;
A,02.20,02,20,Лесозаготовки                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;
A,02.3 ,02,3 ,"Сбор и заготовка пищевых лесных ресурсов, недревесных лесных ресурсов и лекарственных растений                                                                                                                                                                                                                                                                                                                                                                                                                      ;"
A,02.30,02,30,"Сбор и заготовка пищевых лесных ресурсов, недревесных лесных ресурсов и лекарственных растений                                                                                                                                                                                                                                                                                                                                                                                                                      ;Сбор и заготовка пищевых лесных ресурсов                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;Сбор и заготовка дикорастущих грибов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Сбор и заготовка дикорастущих плодов, ягод                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Сбор и заготовка дикорастущих орехов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Сбор лекарственных растений                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;Сбор и заготовка недревесных лесных ресурсов                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;"
A,02.4 ,02,4 ,Предоставление услуг в области лесоводства и лесозаготовок                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;
A,02.40,02,40,Предоставление услуг в области лесоводства и лесозаготовок                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Предоставление услуг в области лесоводства                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Предоставление услуг в области лесозаготовок                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
A,03.1 ,03,1 ,Рыболовство                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;
A,03.11,03,11,Рыболовство морское                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Рыболовство морское промышленное                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Рыболовство морское прибрежное                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Рыболовство в научно-исследовательских и контрольных целях                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Рыболовство в учебных и культурно-просветительских целях                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;Рыболовство морское в целях аквакультуры (рыбоводства)                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;
A,03.12,03,12,"Рыболовство пресноводное                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;Рыболовство пресноводное промышленное                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Рыболовство пресноводное в целях аквакультуры (рыбоводства)                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;Рыболовство любительское и спортивное                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Рыболовство в целях обеспечения ведения традиционного образа жизни и осуществления традиционной хозяйственной деятельности коренных малочисленных народов Севера, Сибири и Дальнего Востока Российской Федерации                                                                                                                                                                                                                                                                                                    ;"
A,03.2 ,03,2 ,Рыбоводство                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;
A,03.21,03,21,Рыбоводство морское                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Рыбоводство морское индустриальное                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;Рыбоводство морское пастбищное                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Мелиорация рыбохозяйственная морских и минерализированных водных объектов                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Воспроизводство морских биоресурсов искусственное                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Акклиматизация морских биоресурсов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;Деятельность по морскому рыбоводству прочая                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;
A,03.22,03,22,Рыбоводство пресноводное                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;Рыбоводство пресноводное индустриальное                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Рыбоводство пресноводное пастбищное                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Рыбоводство прудовое                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Мелиорация рыбохозяйственная пресноводных объектов                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;Воспроизводство пресноводных биоресурсов искусственное                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Акклиматизация пресноводных биоресурсов                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Деятельность по пресноводному рыбоводству прочая                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
